LAST SEEN   TYPE      REASON                           OBJECT                                          MESSAGE
7m50s       Normal    ScalingReplicaSet                deployment/k8s-cluster-manager                  Scaled up replica set k8s-cluster-manager-bb764bc84 to 1
7m49s       Normal    Scheduled                        pod/kickstarter-2c2k2                           Successfully assigned vmware-system-tsm/kickstarter-2c2k2 to ip-192-168-93-186.us-east-2.compute.internal
7m48s       Normal    Pulled                           pod/kickstarter-2c2k2                           Container image "public.ecr.aws/v6x6b8s5/enterprise-kickstarter:v0.0.5" already present on machine
7m48s       Normal    Created                          pod/kickstarter-2c2k2                           Created container kickstarter
7m48s       Normal    Started                          pod/kickstarter-2c2k2                           Started container kickstarter
7m49s       Normal    SuccessfulCreate                 job/kickstarter                                 Created pod: kickstarter-2c2k2
6m5s        Normal    Completed                        job/kickstarter                                 Job completed
7m2s        Normal    Scheduled                        pod/policy-7b7dbcdcb7-pntjf                     Successfully assigned vmware-system-tsm/policy-7b7dbcdcb7-pntjf to ip-192-168-93-186.us-east-2.compute.internal
7m1s        Normal    Pulling                          pod/policy-7b7dbcdcb7-pntjf                     Pulling image "public.ecr.aws/v6x6b8s5/vmwareallspark/kubectl:1.16"
6m58s       Normal    Pulled                           pod/policy-7b7dbcdcb7-pntjf                     Successfully pulled image "public.ecr.aws/v6x6b8s5/vmwareallspark/kubectl:1.16" in 3.560433233s (3.560441106s including waiting)
6m58s       Normal    Created                          pod/policy-7b7dbcdcb7-pntjf                     Created container check-crd
6m57s       Normal    Started                          pod/policy-7b7dbcdcb7-pntjf                     Started container check-crd
6m47s       Normal    Pulling                          pod/policy-7b7dbcdcb7-pntjf                     Pulling image "public.ecr.aws/v6x6b8s5/policy-service:63f07e9c"
6m40s       Normal    Pulled                           pod/policy-7b7dbcdcb7-pntjf                     Successfully pulled image "public.ecr.aws/v6x6b8s5/policy-service:63f07e9c" in 6.695932131s (6.695943403s including waiting)
6m40s       Normal    Created                          pod/policy-7b7dbcdcb7-pntjf                     Created container policy
6m40s       Normal    Started                          pod/policy-7b7dbcdcb7-pntjf                     Started container policy
7m2s        Normal    SuccessfulCreate                 replicaset/policy-7b7dbcdcb7                    Created pod: policy-7b7dbcdcb7-pntjf
7m2s        Normal    ScalingReplicaSet                deployment/policy                               Scaled up replica set policy-7b7dbcdcb7 to 1
5m27s       Normal    Scheduled                        pod/telegraf-istio-code-686fcb99f9-2kdbj        Successfully assigned vmware-system-tsm/telegraf-istio-code-686fcb99f9-2kdbj to ip-192-168-115-127.us-east-2.compute.internal
5m26s       Normal    Pulling                          pod/telegraf-istio-code-686fcb99f9-2kdbj        Pulling image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1"
5m24s       Normal    Pulled                           pod/telegraf-istio-code-686fcb99f9-2kdbj        Successfully pulled image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1" in 2.387344834s (2.387351993s including waiting)
5m24s       Normal    Created                          pod/telegraf-istio-code-686fcb99f9-2kdbj        Created container telegraf
5m24s       Normal    Started                          pod/telegraf-istio-code-686fcb99f9-2kdbj        Started container telegraf
5m27s       Normal    SuccessfulCreate                 replicaset/telegraf-istio-code-686fcb99f9       Created pod: telegraf-istio-code-686fcb99f9-2kdbj
5m27s       Normal    ScalingReplicaSet                deployment/telegraf-istio-code                  Scaled up replica set telegraf-istio-code-686fcb99f9 to 1
5m27s       Normal    Scheduled                        pod/telegraf-istio-count-d87475dbc-kqmnx        Successfully assigned vmware-system-tsm/telegraf-istio-count-d87475dbc-kqmnx to ip-192-168-115-127.us-east-2.compute.internal
5m26s       Normal    Pulling                          pod/telegraf-istio-count-d87475dbc-kqmnx        Pulling image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1"
5m24s       Normal    Pulled                           pod/telegraf-istio-count-d87475dbc-kqmnx        Successfully pulled image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1" in 2.455698991s (2.455708419s including waiting)
5m24s       Normal    Created                          pod/telegraf-istio-count-d87475dbc-kqmnx        Created container telegraf
5m24s       Normal    Started                          pod/telegraf-istio-count-d87475dbc-kqmnx        Started container telegraf
5m27s       Normal    SuccessfulCreate                 replicaset/telegraf-istio-count-d87475dbc       Created pod: telegraf-istio-count-d87475dbc-kqmnx
5m27s       Normal    ScalingReplicaSet                deployment/telegraf-istio-count                 Scaled up replica set telegraf-istio-count-d87475dbc to 1
5m27s       Normal    Scheduled                        pod/telegraf-istio-duration-7b97555cf7-bv6k9    Successfully assigned vmware-system-tsm/telegraf-istio-duration-7b97555cf7-bv6k9 to ip-192-168-115-127.us-east-2.compute.internal
5m26s       Normal    Pulling                          pod/telegraf-istio-duration-7b97555cf7-bv6k9    Pulling image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1"
5m24s       Normal    Pulled                           pod/telegraf-istio-duration-7b97555cf7-bv6k9    Successfully pulled image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1" in 2.422652456s (2.422669602s including waiting)
5m24s       Normal    Created                          pod/telegraf-istio-duration-7b97555cf7-bv6k9    Created container telegraf
5m24s       Normal    Started                          pod/telegraf-istio-duration-7b97555cf7-bv6k9    Started container telegraf
5m27s       Normal    SuccessfulCreate                 replicaset/telegraf-istio-duration-7b97555cf7   Created pod: telegraf-istio-duration-7b97555cf7-bv6k9
5m27s       Normal    ScalingReplicaSet                deployment/telegraf-istio-duration              Scaled up replica set telegraf-istio-duration-7b97555cf7 to 1
5m27s       Normal    Scheduled                        pod/telegraf-nodes-7fd65d7f7d-lrp76             Successfully assigned vmware-system-tsm/telegraf-nodes-7fd65d7f7d-lrp76 to ip-192-168-115-127.us-east-2.compute.internal
5m26s       Normal    Pulling                          pod/telegraf-nodes-7fd65d7f7d-lrp76             Pulling image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1"
5m24s       Normal    Pulled                           pod/telegraf-nodes-7fd65d7f7d-lrp76             Successfully pulled image "public.ecr.aws/v6x6b8s5/metrics-proxy:v3.4.1" in 1.862692357s (1.862716981s including waiting)
5m24s       Normal    Created                          pod/telegraf-nodes-7fd65d7f7d-lrp76             Created container telegraf
5m24s       Normal    Started                          pod/telegraf-nodes-7fd65d7f7d-lrp76             Started container telegraf
5m27s       Normal    SuccessfulCreate                 replicaset/telegraf-nodes-7fd65d7f7d            Created pod: telegraf-nodes-7fd65d7f7d-lrp76
5m27s       Normal    ScalingReplicaSet                deployment/telegraf-nodes                       Scaled up replica set telegraf-nodes-7fd65d7f7d to 1
7m2s        Normal    Scheduled                        pod/telemetry-58599b4d8b-r286c                  Successfully assigned vmware-system-tsm/telemetry-58599b4d8b-r286c to ip-192-168-115-127.us-east-2.compute.internal
7m1s        Normal    Pulling                          pod/telemetry-58599b4d8b-r286c                  Pulling image "public.ecr.aws/v6x6b8s5/vmwareallspark/kubectl:1.16"
6m58s       Normal    Pulled                           pod/telemetry-58599b4d8b-r286c                  Successfully pulled image "public.ecr.aws/v6x6b8s5/vmwareallspark/kubectl:1.16" in 3.574091265s (3.574111185s including waiting)
6m58s       Normal    Created                          pod/telemetry-58599b4d8b-r286c                  Created container check-crd
6m58s       Normal    Started                          pod/telemetry-58599b4d8b-r286c                  Started container check-crd
6m47s       Normal    Pulling                          pod/telemetry-58599b4d8b-r286c                  Pulling image "public.ecr.aws/v6x6b8s5/telemetry-plugin:v3.0.0"
6m42s       Normal    Pulled                           pod/telemetry-58599b4d8b-r286c                  Successfully pulled image "public.ecr.aws/v6x6b8s5/telemetry-plugin:v3.0.0" in 4.772462433s (4.772472928s including waiting)
6m42s       Normal    Created                          pod/telemetry-58599b4d8b-r286c                  Created container mixer
6m42s       Normal    Started                          pod/telemetry-58599b4d8b-r286c                  Started container mixer
7m2s        Normal    SuccessfulCreate                 replicaset/telemetry-58599b4d8b                 Created pod: telemetry-58599b4d8b-r286c
7m2s        Normal    ScalingReplicaSet                deployment/telemetry                            Scaled up replica set telemetry-58599b4d8b to 1
7m54s       Normal    Scheduled                        pod/tsm-agent-operator-77db7d99b6-zblk7         Successfully assigned vmware-system-tsm/tsm-agent-operator-77db7d99b6-zblk7 to ip-192-168-115-127.us-east-2.compute.internal
7m54s       Normal    Pulled                           pod/tsm-agent-operator-77db7d99b6-zblk7         Container image "public.ecr.aws/v6x6b8s5/tsm-agent-operator:v3.6.13" already present on machine
7m54s       Normal    Created                          pod/tsm-agent-operator-77db7d99b6-zblk7         Created container tsm-agent-operator
7m54s       Normal    Started                          pod/tsm-agent-operator-77db7d99b6-zblk7         Started container tsm-agent-operator
7m54s       Normal    SuccessfulCreate                 replicaset/tsm-agent-operator-77db7d99b6        Created pod: tsm-agent-operator-77db7d99b6-zblk7
7m55s       Normal    ScalingReplicaSet                deployment/tsm-agent-operator                   Scaled up replica set tsm-agent-operator-77db7d99b6 to 1
20s         Normal    Synced                           tsmcluster/tsm-client-cluster                   TsmCluster synced successfully
7m55s       Warning   FailedExtensionProcessingState   extension/tsm-operator-extension                failed to process extension tsm-operator-extension, error: get extension deployment: reading deployment tsm-agent-operator in namespace : Deployment.apps "tsm-agent-operator" not found
